idx, tickerID, time, open, high, low, close, volume, wap, count, green, median
140.0, 1000.0, 1538062210.0, 169.53, 169.53, 169.51, 169.51, 21.0, 169.52, 11.0, 0, 169.47
141.0, 1000.0, 1538062215.0, 169.49, 169.49, 169.44, 169.45, 50.0, 169.46, 28.0, 0, 169.47
142.0, 1000.0, 1538062220.0, 169.44, 169.45, 169.41, 169.41, 40.0, 169.42, 20.0, 0, 169.47
143.0, 1000.0, 1538062225.0, 169.41, 169.42, 169.4, 169.41, 33.0, 169.41, 8.0, 0, 169.47
144.0, 1000.0, 1538062230.0, 169.4, 169.47, 169.4, 169.44, 33.0, 169.43, 23.0, 1, 169.47
145.0, 1000.0, 1538062235.0, 169.47, 169.47, 169.44, 169.47, 37.0, 169.45, 34.0, 0, 169.47
146.0, 1000.0, 1538062240.0, 169.46, 169.49, 169.45, 169.45, 22.0, 169.47, 11.0, 0, 169.47
147.0, 1000.0, 1538062245.0, 169.46, 169.48, 169.45, 169.47, 26.0, 169.47, 8.0, 1, 169.47
148.0, 1000.0, 1538062250.0, 169.45, 169.48, 169.45, 169.46, 10.0, 169.46, 9.0, 1, 169.47
149.0, 1000.0, 1538062255.0, 169.47, 169.48, 169.46, 169.46, 7.0, 169.47, 7.0, 0, 169.47
150.0, 1000.0, 1538062260.0, 169.47, 169.48, 169.45, 169.45, 24.0, 169.46, 12.0, 0, 169.46
151.0, 1000.0, 1538062265.0, 169.48, 169.48, 169.47, 169.47, 7.0, 169.48, 7.0, 0, 169.46
152.0, 1000.0, 1538062270.0, 169.46, 169.48, 169.46, 169.47, 6.0, 169.47, 3.0, 1, 169.46
153.0, 1000.0, 1538062275.0, 169.46, 169.47, 169.45, 169.46, 7.0, 169.46, 5.0, 0, 169.46
154.0, 1000.0, 1538062280.0, 169.46, 169.46, 169.44, 169.45, 11.0, 169.45, 9.0, 0, 169.46
155.0, 1000.0, 1538062285.0, 169.43, 169.47, 169.43, 169.46, 24.0, 169.45, 12.0, 1, 169.46
156.0, 1000.0, 1538062290.0, 169.47, 169.47, 169.43, 169.44, 54.0, 169.46, 10.0, 0, 169.46
157.0, 1000.0, 1538062295.0, 169.44, 169.45, 169.44, 169.44, 11.0, 169.45, 9.0, 0, 169.46
158.0, 1000.0, 1538062300.0, 169.44, 169.46, 169.44, 169.46, 8.0, 169.45, 7.0, 1, 169.46
159.0, 1000.0, 1538062305.0, 169.46, 169.48, 169.46, 169.47, 43.0, 169.47, 19.0, 1, 169.46
160.0, 1000.0, 1538062310.0, 169.47, 169.48, 169.46, 169.47, 10.0, 169.47, 5.0, 0, 169.46
161.0, 1000.0, 1538062315.0, 169.48, 169.49, 169.47, 169.47, 6.0, 169.47, 6.0, 0, 169.46
162.0, 1000.0, 1538062320.0, 169.47, 169.48, 169.45, 169.46, 50.0, 169.46, 23.0, 0, 169.43
163.0, 1000.0, 1538062325.0, 169.46, 169.46, 169.45, 169.46, 18.0, 169.46, 9.0, 0, 169.43
164.0, 1000.0, 1538062330.0, 169.47, 169.47, 169.44, 169.44, 9.0, 169.46, 9.0, 0, 169.43
165.0, 1000.0, 1538062335.0, 169.45, 169.46, 169.43, 169.43, 44.0, 169.44, 15.0, 0, 169.43
166.0, 1000.0, 1538062340.0, 169.44, 169.45, 169.44, 169.44, 8.0, 169.44, 6.0, 0, 169.43
167.0, 1000.0, 1538062345.0, 169.46, 169.47, 169.46, 169.46, 10.0, 169.46, 9.0, 0, 169.43
168.0, 1000.0, 1538062350.0, 169.46, 169.47, 169.46, 169.46, 6.0, 169.47, 5.0, 0, 169.43
169.0, 1000.0, 1538062355.0, 169.45, 169.45, 169.43, 169.44, 18.0, 169.44, 13.0, 0, 169.43
